location,total_sqft,bath,price,bhk
 Devarachikkanahalli,1250.0,2.0,40.0,2.0
 Devarachikkanahalli,1200.0,2.0,83.0,2.0
 Devarachikkanahalli,1170.0,2.0,40.0,2.0
 Devarachikkanahalli,1425.0,2.0,65.0,3.0
 Devarachikkanahalli,947.0,2.0,43.0,2.0
 Devarachikkanahalli,1130.0,2.0,36.0,2.0
 Devarachikkanahalli,1417.0,2.0,76.0,3.0
 Devarachikkanahalli,1230.0,2.0,58.0,2.0
 Devarachikkanahalli,1705.0,3.0,75.0,3.0
 Devarachikkanahalli,1116.0,2.0,47.0,2.0
 Devarachikkanahalli,991.0,2.0,40.0,2.0
1st Block Jayanagar,2850.0,4.0,428.0,4.0
1st Block Jayanagar,1630.0,3.0,194.0,3.0
1st Block Jayanagar,1875.0,2.0,235.0,3.0
1st Block Jayanagar,1200.0,2.0,130.0,3.0
1st Block Jayanagar,1235.0,2.0,148.0,2.0
1st Block Jayanagar,2750.0,4.0,413.0,4.0
1st Block Jayanagar,2450.0,4.0,368.0,4.0
1st Phase JP Nagar,1875.0,3.0,167.0,3.0
1st Phase JP Nagar,1500.0,5.0,85.0,5.0
1st Phase JP Nagar,2065.0,4.0,210.0,3.0
1st Phase JP Nagar,2059.0,3.0,225.0,3.0
1st Phase JP Nagar,1394.0,2.0,100.0,2.0
1st Phase JP Nagar,1077.0,2.0,93.0,2.0
1st Phase JP Nagar,1566.0,2.0,180.0,2.0
1st Phase JP Nagar,840.0,2.0,50.0,1.0
1st Phase JP Nagar,1590.0,3.0,131.0,3.0
1st Phase JP Nagar,2180.0,3.0,210.0,3.0
1st Phase JP Nagar,1180.0,2.0,88.5,2.0
1st Phase JP Nagar,1200.0,2.0,86.0,2.0
1st Phase JP Nagar,1394.0,2.0,85.0,2.0
1st Phase JP Nagar,2077.0,3.0,175.0,3.0
1st Phase JP Nagar,1205.0,2.0,85.0,2.0
1st Phase JP Nagar,900.0,2.0,75.0,2.0
2nd Phase Judicial Layout,1450.0,2.0,50.75,3.0
2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
2nd Phase Judicial Layout,900.0,2.0,41.0,2.0
2nd Phase Judicial Layout,1681.0,3.0,69.0,3.0
2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
2nd Stage Nagarbhavi,1500.0,4.0,220.0,4.0
2nd Stage Nagarbhavi,3000.0,8.0,451.0,6.0
2nd Stage Nagarbhavi,2400.0,8.0,450.0,6.0
2nd Stage Nagarbhavi,1350.0,4.0,200.0,4.0
2nd Stage Nagarbhavi,1200.0,4.0,225.0,4.0
2nd Stage Nagarbhavi,1500.0,3.0,230.0,4.0
5th Block Hbr Layout,1206.0,2.0,56.0,2.0
5th Block Hbr Layout,1270.0,2.0,70.0,3.0
5th Block Hbr Layout,1312.0,2.0,69.0,2.0
5th Block Hbr Layout,1100.0,2.0,48.0,2.0
